batch_size,epoch,input_to_padding_ratio,learning_rate,lr-AdamW,num_frames,num_tokens,output_to_padding_ratio,step,train_loss,training_batch_bleu,training_batch_wer,val_bleu,val_loss,val_wer
,,,,9.815677734407505e-06,,,,179,,,,,,
23.0,0,0.5540413856506348,9.815677913138643e-06,,3066464.0,1042.0,0.5663043260574341,179,0.3247554302215576,0.6417238712310791,0.18333333730697632,,,
,,,,9.786217557889234e-06,,,,189,,,,,,
19.0,0,0.38690048456192017,9.786217560758814e-06,,2141584.0,837.0,0.4361646771430969,189,0.26824331283569336,0.6151171922683716,0.21590909361839294,,,
,,,,9.754628062872118e-06,,,,199,,,,,,
22.0,0,0.45882636308670044,9.754628081282135e-06,,2630624.0,950.0,0.49070248007774353,199,0.3254360258579254,0.6206145286560059,0.2261904776096344,,,
,,,,9.720924077590304e-06,,,,209,,,,,,
22.0,0,0.36723804473876953,9.720924026623834e-06,,2093104.0,866.0,0.3748917877674103,209,0.26131102442741394,0.6976821422576904,0.16938111186027527,,,
,,,,9.685121422828057e-06,,,,219,,,,,,
15.0,0,0.3328045606613159,9.685121767688543e-06,,1852976.0,718.0,0.44735202193260193,219,0.4881986379623413,0.48414555191993713,0.32270917296409607,,,
,,,,9.647236904493404e-06,,,,229,,,,,,
22.0,0,0.46345365047454834,9.647236765886191e-06,,2637904.0,943.0,0.5291807055473328,229,0.24474185705184937,0.6755913496017456,0.17696629464626312,,,
,,,,9.607288305729396e-06,,,,239,,,,,,
18.0,0,0.31637805700302124,9.607288120605517e-06,,1776688.0,686.0,0.529321014881134,239,0.3166159391403198,0.6227745413780212,0.21576763689517975,,,
,,,,9.565294378566605e-06,,,,249,,,,,,
19.0,0,0.4920782446861267,9.565294021740556e-06,,2738128.0,1021.0,0.5069513320922852,249,0.40848132967948914,0.5848281979560852,0.24155844748020172,,,
,0,,,,,,,249,,,,0.8175547122955322,0.12083174288272858,0.09409190714359283
,,,,9.521274835120866e-06,,,,259,,,,,,
20.0,0,0.5028541088104248,9.521274478174746e-06,,2821776.0,1064.0,0.5428571701049805,259,0.26068344712257385,0.6169766187667847,0.19948185980319977,,,
,,,,9.475250338340323e-06,,,,269,,,,,,
19.0,0,0.4025542438030243,9.475250408286229e-06,,2298720.0,833.0,0.4566885828971863,269,0.22074706852436066,0.7509814500808716,0.12786884605884552,,,
,,,,9.427242492306164e-06,,,,279,,,,,,
