batch_size,epoch,input_to_padding_ratio,learning_rate,lr-AdamW,num_frames,num_tokens,output_to_padding_ratio,step,train_loss,training_batch_bleu,training_batch_wer,val_bleu,val_loss,val_wer
22.0,0,0.39060068130493164,8.452936526737176e-06,,2249360.0,953.0,0.4010942876338959,169,0.4436931610107422,0.534633994102478,0.30116960406303406,,,
,,,,8.200451956321976e-06,,,,179,,,,,,
24.0,0,0.4366690516471863,8.200451702577993e-06,,2463568.0,984.0,0.5189873576164246,179,0.3075266182422638,0.6196528673171997,0.2181818187236786,,,
,,,,7.933593266268455e-06,,,,189,,,,,,
16.0,0,0.3132380247116089,7.933593224151991e-06,,1772416.0,727.0,0.4327380955219269,189,0.4598316550254822,0.4457598924636841,0.3333333432674408,,,
,,,,7.65366037957553e-06,,,,199,,,,,,
19.0,0,0.404146671295166,7.653660759388003e-06,,2260512.0,843.0,0.5041866302490234,199,0.29217439889907837,0.637401282787323,0.20655737817287445,,,
,0,,,,,,,199,,,,0.8131337761878967,0.13646487891674042,0.09693654626607895
,,,,7.362017101128406e-06,,,,209,,,,,,
21.0,0,0.4059087634086609,7.362017186096637e-06,,2248176.0,853.0,0.4463631510734558,209,0.27796638011932373,0.7027362585067749,0.1683848798274994,,,
,,,,7.060084287663803e-06,,,,219,,,,,,
24.0,0,0.3746821880340576,7.0600844992441125e-06,,2112704.0,862.0,0.4275793731212616,219,0.34485146403312683,0.626891016960144,0.22142857313156128,,,
,,,,6.749332925498738e-06,,,,229,,,,,,
19.0,0,0.32720184326171875,6.749332897015847e-06,,1858784.0,742.0,0.4154535233974457,229,0.36768007278442383,0.5095343589782715,0.2995951473712921,,,
,,,,6.43127696403306e-06,,,,239,,,,,,
17.0,0,0.3838041424751282,6.431277142837644e-06,,2136960.0,809.0,0.46202170848846436,239,0.28067439794540405,0.658254861831665,0.19344262778759003,,,
,,,,6.10746593994016e-06,,,,249,,,,,,
16.0,0,0.33113065361976624,6.107466106186621e-06,,1868912.0,708.0,0.31607142090797424,249,0.3244837522506714,0.6032042503356934,0.25296443700790405,,,
,,,,5.779477427980046e-06,,,,259,,,,,,
16.0,0,0.42162829637527466,5.779477305623004e-06,,2296896.0,924.0,0.4124999940395355,259,0.49372023344039917,0.5028282403945923,0.29729729890823364,,,
,,,,5.4489093552136986e-06,,,,269,,,,,,
21.0,0,0.4272717535495758,5.4489091780851595e-06,,2377552.0,912.0,0.5868725776672363,269,0.23492561280727386,0.7068139910697937,0.17125381529331207,,,
,,,,5.117372216063049e-06,,,,279,,,,,,
21.0,0,0.3676410913467407,5.117372438689927e-06,,2071184.0,878.0,0.4697699248790741,279,0.3855757713317871,0.45088252425193787,0.30434781312942505,,,
,,,,4.7864812261440415e-06,,,,289,,,,,,
