batch_size,epoch,input_to_padding_ratio,learning_rate,lr-AdamW,num_frames,num_tokens,output_to_padding_ratio,step,train_loss,training_batch_bleu,training_batch_wer,val_bleu,val_loss,val_wer
20.0,0,0.3124793767929077,8.452936526737176e-06,,1878176.0,724.0,0.4160919487476349,169,0.4003109931945801,0.5732150673866272,0.26859503984451294,,,
,,,,8.200451956321976e-06,,,,179,,,,,,
18.0,0,0.2867916524410248,8.200451702577993e-06,,1583200.0,682.0,0.45105820894241333,179,0.3724469244480133,0.5889129042625427,0.261904776096344,,,
,,,,7.933593266268455e-06,,,,189,,,,,,
20.0,0,0.4696943759918213,7.933593224151991e-06,,2621120.0,1080.0,0.4320000112056732,189,0.3485839068889618,0.5513396859169006,0.262899249792099,,,
,,,,7.65366037957553e-06,,,,199,,,,,,
24.0,0,0.419008731842041,7.653660759388003e-06,,2404480.0,970.0,0.47549018263816833,199,0.3070124387741089,0.5241641998291016,0.2603878080844879,,,
,0,,,,,,,199,,,,0.8163011074066162,0.12217604368925095,0.094748355448246
,,,,7.362017101128406e-06,,,,209,,,,,,
21.0,0,0.4178605079650879,7.362017186096637e-06,,2333888.0,918.0,0.43714284896850586,209,0.37190118432044983,0.6275807023048401,0.21472392976284027,,,
,,,,7.060084287663803e-06,,,,219,,,,,,
22.0,0,0.3284996747970581,7.0600844992441125e-06,,1879712.0,762.0,0.3607954680919647,219,0.25175368785858154,0.6785125136375427,0.1735537201166153,,,
,,,,6.749332925498738e-06,,,,229,,,,,,
21.0,0,0.45326343178749084,6.749332897015847e-06,,2531168.0,962.0,0.5034013390541077,229,0.28375664353370667,0.610223114490509,0.2178770899772644,,,
,,,,6.43127696403306e-06,,,,239,,,,,,
18.0,0,0.3586125373840332,6.431277142837644e-06,,2053008.0,820.0,0.39613527059555054,239,0.2556564509868622,0.6566517949104309,0.2006578892469406,,,
,,,,6.10746593994016e-06,,,,249,,,,,,
21.0,0,0.3758055567741394,6.107466106186621e-06,,2066672.0,881.0,0.36800333857536316,249,0.4450015425682068,0.5142134428024292,0.3060606122016907,,,
,,,,5.779477427980046e-06,,,,259,,,,,,
17.0,0,0.39511895179748535,5.779477305623004e-06,,2165568.0,765.0,0.43689319491386414,259,0.21330182254314423,0.7013885378837585,0.18772563338279724,,,
,,,,5.4489093552136986e-06,,,,269,,,,,,
29.0,0,0.2877084016799927,5.4489091780851595e-06,,2161712.0,832.0,0.39846742153167725,269,0.26774707436561584,0.5303278565406799,0.2490566074848175,,,
,,,,5.117372216063049e-06,,,,279,,,,,,
17.0,0,0.3166719377040863,5.117372438689927e-06,,1783248.0,768.0,0.3371378481388092,279,0.39247554540634155,0.6035400032997131,0.2418772578239441,,,
,,,,4.7864812261440415e-06,,,,289,,,,,,
17.0,0,0.37618592381477356,4.7864814405329525e-06,,2089120.0,835.0,0.4547930359840393,289,0.3289409577846527,0.5791156888008118,0.22054380178451538,,,
,,,,4.457848453098515e-06,,,,299,,,,,,
27.0,1,0.3927246034145355,4.45784826297313e-06,,2189424.0,936.0,0.4126984179019928,299,0.2524172067642212,,,,,
,1,,,,,,,299,,,,0.8176422715187073,0.12110210210084915,0.09343545138835907
,,,,4.133074962762699e-06,,,,309,,,,,,
20.0,1,0.28209567070007324,4.133074980927631e-06,,1571792.0,687.0,0.3434999883174896,309,0.2672310769557953,0.6374409198760986,0.1895424872636795,,,
,,,,3.813743018935389e-06,,,,319,,,,,,
17.0,1,0.3167389929294586,3.8137429783091648e-06,,1763552.0,727.0,0.37512898445129395,319,0.4588985741138458,0.609093189239502,0.234806627035141,,,
,,,,3.501408374747781e-06,,,,329,,,,,,
20.0,1,0.43709951639175415,3.5014084005524637e-06,,2479648.0,942.0,0.44857141375541687,329,0.2525428831577301,0.5780267119407654,0.2628205120563507,,,
,,,,3.1975926931905834e-06,,,,339,,,,,,
17.0,1,0.3349112272262573,3.197592604919919e-06,,1859904.0,735.0,0.40032678842544556,339,0.3911522924900055,0.6561167240142822,0.18503937125205994,,,
,,,,2.903776133724904e-06,,,,349,,,,,,
29.0,1,0.37624746561050415,2.903776021412341e-06,,2374272.0,1028.0,0.40745145082473755,349,0.3359646499156952,0.7353805899620056,0.14765100181102753,,,
,,,,2.621390141094116e-06,,,,359,,,,,,
25.0,1,0.3683858811855316,2.6213901946903206e-06,,2117040.0,949.0,0.3482568860054016,359,0.29006969928741455,0.5655966997146606,0.24462366104125977,,,
,,,,2.351810471468979e-06,,,,369,,,,,,
18.0,1,0.28623318672180176,2.351810508116614e-06,,1599984.0,658.0,0.38479530811309814,369,0.2616199851036072,0.5611293315887451,0.27106228470802307,,,
,,,,2.0963504899018523e-06,,,,379,,,,,,
16.0,1,0.30278998613357544,2.0963504994142568e-06,,1641984.0,685.0,0.3058035671710968,379,0.2623586058616638,0.604976236820221,0.2571428716182709,,,
,,,,1.8562547717441852e-06,,,,389,,,,,,
17.0,1,0.399711012840271,1.856254812082625e-06,,2292608.0,836.0,0.4639289677143097,389,0.2648918330669403,0.5630464553833008,0.23955431580543518,,,
,,,,1.6326930392005015e-06,,,,399,,,,,,
18.0,1,0.3196987807750702,1.6326930563081987e-06,,1764768.0,630.0,0.38461539149284363,399,0.2615043818950653,0.6031416058540344,0.23247233033180237,,,
,1,,,,,,,399,,,,0.8190324902534485,0.12038736045360565,0.09365426748991013
,,,,1.4267544625594083e-06,,,,409,,,,,,
21.0,1,0.34869906306266785,1.4267544656831888e-06,,1975952.0,832.0,0.37376460433006287,409,0.22923628985881805,0.6710339784622192,0.20060789585113525,,,
,,,,1.2394423538654285e-06,,,,419,,,,,,
20.0,1,0.3212902545928955,1.2394423265504884e-06,,2049472.0,805.0,0.4423076808452606,419,0.26072967052459717,0.6062430143356323,0.25072047114372253,,,
,,,,1.0716692788835725e-06,,,,429,,,,,,
18.0,1,0.4287431538105011,1.0716693168433267e-06,,2402512.0,918.0,0.5368421077728271,429,0.4075687527656555,0.6606007814407349,0.20333333313465118,,,
,,,,9.242526111706587e-07,,,,439,,,,,,
20.0,1,0.39590418338775635,9.242526175512467e-07,,2250256.0,839.0,0.39205607771873474,439,0.32111161947250366,0.6419406533241272,0.2249240130186081,,,
,,,,7.979105499135157e-07,,,,449,,,,,,
21.0,1,0.35733962059020996,7.979105589583924e-07,,2106560.0,758.0,0.4297052025794983,449,0.24985118210315704,0.5333963632583618,0.26615968346595764,,,
,,,,6.932586209347269e-07,,,,459,,,,,,
21.0,1,0.3256894648075104,6.932586416041886e-07,,1839984.0,797.0,0.46854791045188904,459,0.2748609781265259,0.6568246483802795,0.22439023852348328,,,
,,,,6.108066779127025e-07,,,,469,,,,,,
18.0,1,0.38114383816719055,6.10806694112398e-07,,2125136.0,835.0,0.38657405972480774,469,0.28773635625839233,0.607665479183197,0.2397260218858719,,,
,,,,5.509564184258056e-07,,,,479,,,,,,
17.0,1,0.37281161546707153,5.509564289241098e-07,,2029312.0,763.0,0.41557735204696655,479,0.18748612701892853,0.669038712978363,0.20661157369613647,,,
,,,,5.139994269221289e-07,,,,489,,,,,,
22.0,1,0.3735503554344177,5.1399945277808e-07,,2091344.0,837.0,0.4815880358219147,489,0.2984119653701782,0.6253530383110046,0.20915032923221588,,,
,,,,5.001157541493751e-07,,,,499,,,,,,
19.0,1,0.37629619240760803,5.00115731938422e-07,,2104736.0,796.0,0.47607654333114624,499,0.26312243938446045,0.50105220079422,0.31562501192092896,,,
,1,,,,,,,499,,,,0.8201805949211121,0.12234143912792206,0.09321662783622742
