batch_size,epoch,input_to_padding_ratio,learning_rate,lr-AdamW,num_frames,num_tokens,output_to_padding_ratio,step,train_loss,training_batch_bleu,training_batch_wer,val_bleu,val_loss,val_wer
22.0,0,0.4257974326610565,8.452936526737176e-06,,2427168.0,937.0,0.4018010199069977,169,0.3046133518218994,0.6494302749633789,0.19658119976520538,,,
,,,,8.200451956321976e-06,,,,179,,,,,,
18.0,0,0.26524925231933594,8.200451702577993e-06,,1462368.0,621.0,0.24820144474506378,179,0.38875991106033325,0.5537043213844299,0.2634146213531494,,,
,,,,7.933593266268455e-06,,,,189,,,,,,
17.0,0,0.3523331880569458,7.933593224151991e-06,,1974960.0,722.0,0.4083710312843323,189,0.3719078004360199,0.5696672797203064,0.26181817054748535,,,
,,,,7.65366037957553e-06,,,,199,,,,,,
19.0,0,0.33354833722114563,7.653660759388003e-06,,1894736.0,723.0,0.4228070080280304,199,0.36918118596076965,0.5810055136680603,0.26538461446762085,,,
,0,,,,,,,199,,,,0.8074514269828796,0.1401875615119934,0.10065645724534988
,,,,7.362017101128406e-06,,,,209,,,,,,
20.0,0,0.3498128354549408,7.362017186096637e-06,,1973728.0,772.0,0.41956523060798645,209,0.2749921381473541,0.6999721527099609,0.16853933036327362,,,
,,,,7.060084287663803e-06,,,,219,,,,,,
24.0,0,0.3509552478790283,7.0600844992441125e-06,,2233760.0,937.0,0.3614969253540039,219,0.3790912330150604,0.5271028876304626,0.29041916131973267,,,
,,,,6.749332925498738e-06,,,,229,,,,,,
19.0,0,0.334955632686615,6.749332897015847e-06,,1902832.0,733.0,0.5358186960220337,229,0.3470440208911896,0.5472103357315063,0.31380751729011536,,,
,,,,6.43127696403306e-06,,,,239,,,,,,
21.0,0,0.47462475299835205,6.431277142837644e-06,,2628768.0,966.0,0.5348837375640869,239,0.35352465510368347,0.6411523818969727,0.21487602591514587,,,
,,,,6.10746593994016e-06,,,,249,,,,,,
19.0,0,0.3866189122200012,6.107466106186621e-06,,2143904.0,759.0,0.5398293137550354,249,0.2284824401140213,0.724258542060852,0.1666666716337204,,,
,,,,5.779477427980046e-06,,,,259,,,,,,
